SYMBOL,COMPANY,COUNTRY,EXCHANGE
KANSANERO.BO,Kansai Nerolac Paints Ltd,India,Bombay Stock Exchange
KEM.DE,Kemira Oyj,Germany,XETRA Stock Exchange
KESARPE.BO,Kesar Petroproducts Ltd,India,Bombay Stock Exchange
0148.HK,Kingboard Chemical,Hong Kong,Hong Kong Stock Exchange
KGZ.DE,Kingboard Chemical Hldgs,Germany,XETRA Stock Exchange
0827.HK,Ko Yo Chemical (Group) Ltd,Hong Kong,Hong Kong Stock Exchange
KOTHARIPE.NS,Kothari Petrochemicals Ltd,India,National Stock Exchange of India
KUY.DE,Kuraray Co Ltd,Germany,XETRA Stock Exchange
LAFFANSQ.BO,Laffans Petrochemicals Ltd,India,Bombay Stock Exchange
AH20.L,LG Chem Ltd,United Kingdom,London Stock Exchange
N7OL.DE,Lightbridge Corp,Germany,XETRA Stock Exchange
LIN.DE,Linde AG,Germany,XETRA Stock Exchange
LIN1.DE,Linde AG,Germany,XETRA Stock Exchange
LORDSCHLO.BO,Lords Chloro Alkali Ltd,India,Bombay Stock Exchange
LS3.DE,LSB Industries Inc,Germany,XETRA Stock Exchange
LXU,LSB Industries Inc.,United States of America,
MANALIPE.BO,Manali Petrochemicals Ltd,India,Bombay Stock Exchange
MANALIPET.NS,Manali Petrochemicals Ltd,India,National Stock Exchange of India
